Target,PacketSize,Mode,IntervalMs,SentOriginal,SentTotal,Received,Retransmitted,ReceivedAfterRetry,Corrupted,PacketLoss
1.1.1.1,512,1,200,50,50,50,0,0,0,
1.1.1.1,512,1,199,50,50,50,0,0,0,
1.1.1.1,512,1,198,50,50,50,0,0,0,
1.1.1.1,512,1,197,50,50,50,0,0,0,
1.1.1.1,512,1,196,50,50,50,0,0,0,
1.1.1.1,512,1,195,50,50,50,0,0,0,
1.1.1.1,512,1,194,50,50,50,0,0,0,
1.1.1.1,512,1,193,50,50,50,0,0,0,
1.1.1.1,512,1,192,50,50,50,0,0,0,
1.1.1.1,512,1,191,50,50,50,0,0,0,
1.1.1.1,512,1,190,50,50,50,0,0,0,
1.1.1.1,512,1,189,50,50,50,0,0,0,
1.1.1.1,512,1,188,50,50,50,0,0,0,
1.1.1.1,512,1,187,50,50,50,0,0,0,
1.1.1.1,512,1,186,50,50,50,0,0,0,
1.1.1.1,512,1,185,50,50,50,0,0,0,
1.1.1.1,512,1,184,50,50,50,0,0,0,
1.1.1.1,512,1,183,50,50,50,0,0,0,
1.1.1.1,512,1,182,50,50,50,0,0,0,
1.1.1.1,512,1,181,50,50,50,0,0,0,
1.1.1.1,512,1,180,50,50,50,0,0,0,
1.1.1.1,512,1,179,50,50,50,0,0,0,
1.1.1.1,512,1,178,50,50,50,0,0,0,
1.1.1.1,512,1,177,50,50,50,0,0,0,
1.1.1.1,512,1,176,50,50,50,0,0,0,
1.1.1.1,512,1,175,50,50,50,0,0,0,
1.1.1.1,512,1,174,50,50,50,0,0,0,
1.1.1.1,512,1,173,50,50,50,0,0,0,
1.1.1.1,512,1,172,50,50,50,0,0,0,
1.1.1.1,512,1,171,50,50,50,0,0,0,
1.1.1.1,512,1,170,50,50,50,0,0,0,
1.1.1.1,512,1,169,50,50,50,0,0,0,
1.1.1.1,512,1,168,50,50,50,0,0,0,
1.1.1.1,512,1,167,50,50,50,0,0,0,
1.1.1.1,512,1,166,50,50,50,0,0,0,
1.1.1.1,512,1,165,50,50,50,0,0,0,
1.1.1.1,512,1,164,50,50,50,0,0,0,
1.1.1.1,512,1,163,50,50,50,0,0,0,
1.1.1.1,512,1,162,50,50,50,0,0,0,
1.1.1.1,512,1,161,50,51,50,1,1,0,
1.1.1.1,512,1,160,50,50,50,0,0,0,
1.1.1.1,512,1,159,50,50,50,0,0,0,
1.1.1.1,512,1,158,50,50,50,0,0,0,
1.1.1.1,512,1,157,50,50,50,0,0,0,
1.1.1.1,512,1,156,50,50,50,0,0,0,
1.1.1.1,512,1,155,50,50,50,0,0,0,
1.1.1.1,512,1,154,50,50,50,0,0,0,
1.1.1.1,512,1,153,50,50,50,0,0,0,
1.1.1.1,512,1,152,50,50,50,0,0,0,
1.1.1.1,512,1,151,50,50,50,0,0,0,
1.1.1.1,512,1,150,50,50,50,0,0,0,
1.1.1.1,512,1,149,50,50,50,0,0,0,
1.1.1.1,512,1,148,50,50,50,0,0,0,
1.1.1.1,512,1,147,50,51,50,1,1,0,
1.1.1.1,512,1,146,50,50,50,0,0,0,
1.1.1.1,512,1,145,50,50,50,0,0,0,
1.1.1.1,512,1,144,50,50,50,0,0,0,
1.1.1.1,512,1,143,50,50,50,0,0,0,
1.1.1.1,512,1,142,50,50,50,0,0,0,
1.1.1.1,512,1,141,50,50,50,0,0,0,
1.1.1.1,512,1,140,50,50,50,0,0,0,
1.1.1.1,512,1,139,50,50,50,0,0,0,
1.1.1.1,512,1,138,50,50,50,0,0,0,
1.1.1.1,512,1,137,50,51,50,1,1,0,
1.1.1.1,512,1,136,50,50,50,0,0,0,
1.1.1.1,512,1,135,50,50,50,0,0,0,
1.1.1.1,512,1,134,50,50,50,0,0,0,
